winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n,std
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,13.413865546218489,119.0,10.946152726286652
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,12.323170731707318,82.0,10.24758988564228
Gonzaga,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,11.941358024691358,162.0,9.720653526209658
Illinois,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,10.629999999999999,50.0,8.175723147195717
Gonzaga,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,10.205696202531644,79.0,9.886273141304187
Gonzaga,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,9.95,55.0,7.513937666713723
Gonzaga,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,9.819767441860463,43.0,8.307756985799791
Gonzaga,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,8.9375,16.0,7.8419279092155225
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,8.632352941176471,51.0,8.93005500279484
Gonzaga,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,8.616666666666667,15.0,7.980929651064348
Illinois,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,8.350000000000001,55.0,8.02911369122811
Gonzaga,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,8.279411764705884,17.0,10.368929833032574
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,8.1875,96.0,8.605766120823631
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,8.15909090909091,44.0,8.241466853571644
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,7.923913043478262,46.0,8.999516895246439
Baylor,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,7.87676056338028,71.0,7.926320669524848
Illinois,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,7.663043478260871,46.0,8.81116989825105
Gonzaga,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,7.540697674418606,43.0,6.262352135066017
Gonzaga,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,7.313636363636363,55.0,7.680575876276842
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,7.295454545454547,22.0,9.318324357478057
Illinois,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,7.065789473684209,19.0,5.088687143272346
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,6.903846153846153,13.0,6.755814210073101
Gonzaga,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,6.8382352941176485,34.0,6.995096321639868
Gonzaga,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,6.550000000000001,20.0,7.186244169464177
Baylor,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,6.535714285714285,14.0,8.736999761655305
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,6.477272727272727,22.0,6.936321367450769
Gonzaga,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,6.442307692307693,13.0,4.6076858867298265
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,6.4375,16.0,7.272952174552872
Baylor,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,6.398648648648649,37.0,6.438668841962325
Gonzaga,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,6.196808510638299,47.0,7.779036798088369
Gonzaga,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,6.140243902439025,41.0,7.262499737626459
Baylor,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,5.892857142857142,14.0,6.249395575169254
Baylor,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,5.818965517241381,29.0,5.963765795456272
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,5.816666666666666,15.0,6.4638187150439474
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,5.8088235294117645,51.0,5.900548329455093
Illinois,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,5.673076923076923,26.0,6.781876300394025
Illinois,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,5.607142857142858,14.0,6.502746672423453
Illinois,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,5.386363636363637,22.0,6.765074557330005
Gonzaga,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,5.190000000000001,25.0,6.819579654690358
Illinois,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,5.07,25.0,7.755213300311819
Illinois,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,5.065789473684209,38.0,6.983011288633543
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,4.920731707317074,41.0,7.109509262334462
Baylor,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,4.875,16.0,6.270300364947971
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,4.84090909090909,22.0,5.07945526615461
Baylor,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,4.710000000000001,25.0,7.667463726683028
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,4.550000000000001,15.0,5.479833157001354
Gonzaga,Gonzaga,Houston,Houston,Texas,Ohio State,Gonzaga,4.51923076923077,13.0,5.890017630899561
Baylor,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,4.477272727272727,11.0,5.832510764514869
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,4.163043478260869,46.0,6.946065511277339
Gonzaga,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,4.0625,16.0,6.935115956733047
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,3.9224137931034484,29.0,6.803722539469747
Gonzaga,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,3.6388888888888893,36.0,7.009290886399188
Iowa,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,3.5357142857142865,14.0,5.911898971612206
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,3.4021739130434785,23.0,7.529389059196176
Illinois,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,3.3863636363636367,11.0,7.460197413912413
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Iowa,3.3055555555555554,18.0,6.536973775669507
Alabama,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,3.2115384615384617,13.0,6.947606117881954
Gonzaga,Gonzaga,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,2.98076923076923,13.0,3.5155332965247763
Gonzaga,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,2.821428571428571,14.0,3.852357634054676
Gonzaga,Gonzaga,Ohio State,Illinois,Texas,Ohio State,Gonzaga,2.616666666666667,15.0,4.778921974472406
Gonzaga,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,2.295454545454545,11.0,3.4456824103110946
Gonzaga,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,2.25,44.0,7.003321471124039
Iowa,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,2.2115384615384617,13.0,3.230463966042252
Iowa,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,2.166666666666666,12.0,5.160308893737649
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,2.0978260869565215,23.0,5.8512523574186766
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Gonzaga,2.0500000000000007,20.0,3.8946657177005037
Houston,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,2.0166666666666675,15.0,5.364788195348665
Gonzaga,Gonzaga,Baylor,Illinois,Brigham Young,Baylor,Gonzaga,1.916666666666666,12.0,5.373898759633258
Baylor,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,1.75,12.0,3.51619629196613
Iowa,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,1.666666666666666,12.0,3.5537005893558162
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,1.4230769230769234,52.0,4.841492047795677
Gonzaga,Gonzaga,Baylor,Oklahoma State,Alabama,Baylor,Gonzaga,1.416666666666666,15.0,4.561745697594706
Houston,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,1.333333333333334,12.0,2.574643252722186
Baylor,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,1.2884615384615383,13.0,4.5755761862193305
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,0.8563829787234045,47.0,5.209665108794511
Gonzaga,Gonzaga,Baylor,West Virginia,Texas,Baylor,Gonzaga,0.5833333333333339,12.0,3.9733963794062617
Gonzaga,Gonzaga,Ohio State,West Virginia,Michigan,Ohio State,Gonzaga,0.5394736842105257,19.0,4.466902324236451
Gonzaga,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,0.022727272727273373,11.0,7.001298580847829
Gonzaga,Gonzaga,Baylor,Oklahoma State,Texas,Baylor,Gonzaga,-0.11666666666666714,15.0,5.330058518395817
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Villanova,Gonzaga,-0.25,13.0,4.743416490252569
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,-0.3333333333333339,12.0,6.999458853541768
Illinois,Texas,Illinois,Illinois,Texas,Baylor,Gonzaga,-0.4166666666666661,12.0,5.254146991287986
Ohio State,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,-0.48076923076922995,13.0,5.052290671135324
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Baylor,Gonzaga,-0.5833333333333339,12.0,6.154574548966636
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,-0.704545454545455,11.0,5.203145901541419
Ohio State,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,-0.875,24.0,4.073375910022033
Michigan,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,-1.25,31.0,3.444802848737017
Michigan,Michigan,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,-1.9891304347826093,23.0,3.222328228080772
Gonzaga,Gonzaga,West Virginia,West Virginia,Alabama,Baylor,Gonzaga,-2.0,12.0,3.5960837284215423
Kansas,Kansas,Illinois,Illinois,Michigan,Baylor,Kansas,-2.6136363636363633,11.0,3.9817766706013855
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Ohio State,Gonzaga,-2.6500000000000004,15.0,3.8507884164897224
Ohio State,Gonzaga,Ohio State,Oklahoma State,Michigan,Ohio State,Gonzaga,-3.340909090909091,11.0,3.1130225008677805
Ohio State,Michigan,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,-3.340909090909091,11.0,3.9611752158808997
Gonzaga,Gonzaga,Oklahoma State,Oklahoma State,Michigan,Ohio State,Gonzaga,-3.75,16.0,3.0550504633038935
Michigan,Michigan,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,-3.916666666666667,12.0,3.5760143718781094
Virginia,Virginia,Illinois,Illinois,Michigan,Baylor,Virginia,-4.431818181818182,11.0,3.060005941764879
